;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
16;12T;Lonnie Shelton;28;CLE;1.0;1.0;76;0.013;79;26.6;10.8;4.8;2.3;1.0;0.7;0.476;0.2;0.764;2.1;0.048;2.1;0.3;108;1984
17;12T;Mychal Thompson;29;POR;1.0;1.0;76;0.013;79;33.5;15.7;8.7;3.9;1.1;1.4;0.524;0.0;0.667;6.9;0.125;3.3;0.8;106;1984
18;12T;Jamaal Wilkes;30;LAL;1.0;1.0;76;0.013;75;33.4;17.3;4.5;2.9;1.0;0.5;0.514;0.25;0.743;6.0;0.115;2.0;-0.9;110;1984
0;1;Mark Eaton;28;UTA;32.0;32.0;78;0.41;82;34.3;9.7;11.3;1.5;0.4;5.6;0.449;;0.712;5.4;0.093;6.7;4.2;97;1985
1;2;Sidney Moncrief;27;MIL;13.0;13.0;78;0.167;73;37.5;21.7;5.4;5.2;1.6;0.5;0.483;0.273;0.828;11.2;0.197;3.9;1.0;105;1985
2;3;Paul Pressey;26;MIL;10.0;10.0;78;0.128;80;36.0;16.1;5.4;6.8;1.6;0.7;0.517;0.35;0.758;9.6;0.16;4.4;1.6;104;1985
3;4;Michael Cooper;28;LAL;9.0;9.0;78;0.115;82;26.7;8.6;3.1;5.2;1.1;0.6;0.465;0.285;0.865;4.6;0.102;2.3;1.1;108;1985
4;5;Maurice Cheeks;28;PHI;5.0;5.0;78;0.064;78;33.5;13.1;2.8;6.4;2.2;0.3;0.57;0.231;0.879;9.0;0.165;2.8;1.5;108;1985
5;6;Dennis Johnson;30;BOS;3.0;3.0;78;0.038;80;37.2;15.7;4.0;6.8;1.2;0.5;0.462;0.269;0.853;6.4;0.103;2.8;0.0;109;1985
6;7T;T.R. Dunn;29;DEN;2.0;2.0;78;0.026;81;28.3;5.4;4.8;1.9;1.7;0.2;0.489;0.0;0.724;4.4;0.092;2.3;1.1;108;1985
7;7T;Micheal Ray Richardson;29;NJN;2.0;2.0;78;0.026;82;38.1;20.1;5.6;8.2;3.0;0.3;0.469;0.252;0.767;8.7;0.134;4.2;1.6;105;1985
8;7T;Danny Vranes;26;SEA;2.0;2.0;78;0.026;76;28.5;5.8;5.7;2.0;1.0;0.8;0.463;0.25;0.528;1.8;0.039;2.4;1.2;107;1985
0;1;Alvin Robertson;23;SAS;27.0;27.0;78;0.346;82;35.1;17.0;6.3;5.5;3.7;0.5;0.514;0.276;0.795;8.6;0.143;4.6;3.3;103;1986
1;2;Manute Bol;23;WSB;22.0;22.0;78;0.282;80;26.1;3.7;6.0;0.3;0.4;5.0;0.46;0.0;0.488;3.9;0.089;4.2;4.7;99;1986
2;3;Sidney Moncrief;28;MIL;8.0;8.0;78;0.103;73;35.2;20.2;4.6;4.9;1.4;0.2;0.489;0.32;0.859;11.7;0.219;3.4;0.7;105;1986
0;1;Michael Cooper;30;LAL;25.0;25.0;78;0.321;82;27.5;10.5;3.1;4.5;1.0;0.5;0.438;0.385;0.851;6.1;0.131;2.3;0.7;108;1987
1;2;Alvin Robertson;24;SAS;16.0;16.0;78;0.205;81;33.3;17.7;5.2;5.2;3.2;0.4;0.466;0.271;0.753;5.3;0.094;3.4;2.1;106;1987
2;3;Mark Eaton;30;UTA;10.0;10.0;78;0.128;79;31.7;7.7;8.8;1.3;0.5;4.1;0.4;;0.657;3.6;0.068;5.0;3.1;100;1987
3;4;Manute Bol;24;WSB;8.0;8.0;78;0.103;82;18.9;3.1;4.4;0.1;0.2;3.7;0.446;0.0;0.672;2.4;0.074;2.9;4.6;101;1987
4;5;Kevin McHale;29;BOS;5.0;5.0;78;0.064;77;39.7;26.1;9.9;2.6;0.5;2.2;0.604;0.0;0.836;14.8;0.232;4.0;0.4;106;1987
5;6;Maurice Cheeks;30;PHI;4.0;4.0;78;0.051;68;38.6;15.6;3.2;7.9;2.6;0.2;0.527;0.235;0.777;7.9;0.145;2.7;1.0;108;1987
6;7;Dennis Johnson;32;BOS;3.0;3.0;78;0.038;79;37.1;13.4;3.3;7.5;1.1;0.5;0.444;0.113;0.833;5.2;0.085;2.6;-0.1;109;1987
7;8T;T.R. Dunn;31;DEN;1.0;1.0;78;0.013;81;23.9;3.4;3.3;1.8;1.2;0.3;0.428;0.0;0.655;2.4;0.06;1.5;1.2;110;1987
8;8T;Bill Hanzlik;29;DEN;1.0;1.0;78;0.013;73;27.3;13.0;3.5;3.8;1.2;0.4;0.412;0.275;0.786;3.5;0.085;1.5;-0.2;111;1987
9;8T;Derek Harper;25;DAL;1.0;1.0;78;0.013;77;33.2;16.0;2.6;7.9;2.2;0.3;0.501;0.358;0.684;9.4;0.177;2.6;1.2;109;1987
10;8T;Michael Jordan;23;CHI;1.0;1.0;78;0.013;82;40.0;37.1;5.2;4.6;2.9;1.5;0.482;0.182;0.857;16.9;0.247;5.0;2.4;104;1987
11;8T;Fat Lever;26;DEN;1.0;1.0;78;0.013;82;37.2;18.9;8.9;8.0;2.5;0.4;0.469;0.239;0.782;9.7;0.153;3.8;1.4;107;1987
12;8T;Paul Pressey;28;MIL;1.0;1.0;78;0.013;61;33.7;13.9;4.9;7.2;1.8;0.8;0.477;0.291;0.738;5.5;0.129;2.9;1.6;105;1987
13;8T;Doc Rivers;25;ATL;1.0;1.0;78;0.013;82;31.6;12.8;3.6;10.0;2.1;0.4;0.451;0.19;0.828;10.3;0.191;3.9;2.4;104;1987
0;1;Michael Jordan;24;CHI;37.0;37.0;80;0.463;82;40.4;35.0;5.5;5.9;3.2;1.6;0.535;0.132;0.841;21.2;0.308;6.1;4.2;101;1988
1;2;Mark Eaton;31;UTA;9.0;9.0;80;0.113;82;33.3;7.0;8.7;0.7;0.5;3.7;0.418;;0.623;4.1;0.072;5.2;2.0;101;1988
2;3;Hakeem Olajuwon;25;HOU;7.0;7.0;80;0.088;79;35.8;22.8;12.1;2.1;2.1;2.7;0.514;0.0;0.695;10.7;0.182;6.3;2.2;98;1988
3;4;Alvin Robertson;25;SAS;6.0;6.0;80;0.075;82;36.3;19.6;6.1;6.8;3.0;0.8;0.465;0.284;0.748;5.8;0.094;2.8;1.2;109;1988
4;5T;Michael Cooper;31;LAL;4.0;4.0;80;0.05;61;29.4;8.7;3.7;4.7;1.1;0.4;0.392;0.32;0.858;3.1;0.082;1.8;0.9;108;1988
5;5T;Patrick Ewing;25;NYK;4.0;4.0;80;0.05;82;31.0;20.2;8.2;1.5;1.3;3.0;0.555;0.0;0.716;8.1;0.154;4.7;2.4;101;1988
6;5T;Fat Lever;27;DEN;4.0;4.0;80;0.05;82;37.3;18.9;8.1;7.8;2.7;0.3;0.473;0.211;0.785;10.4;0.163;4.9;2.2;103;1988
7;8T;Manute Bol;25;WSB;1.0;1.0;80;0.013;77;14.8;2.3;3.6;0.2;0.1;2.7;0.455;0.0;0.531;2.0;0.085;2.1;4.5;101;1988
