;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
15;14T;Rashad McCants;23;MIN;0.0;3.0;620;0.005;75;26.9;14.9;2.7;2.2;0.9;0.2;0.453;0.407;0.748;1.7;0.04;2008
16;14T;Lou Williams;21;PHI;0.0;3.0;620;0.005;80;23.3;11.5;2.1;3.2;1.0;0.2;0.424;0.359;0.783;4.4;0.112;2008
17;18;Andrés Nocioni;28;CHI;0.0;1.0;620;0.002;82;24.6;13.2;4.2;1.2;0.3;0.5;0.432;0.364;0.807;3.3;0.077;2008
0;1;Jason Terry;31;DAL;111.0;576.0;605;0.952;74;33.7;19.6;2.4;3.4;1.3;0.3;0.463;0.366;0.88;7.3;0.14;2009
1;2;J.R. Smith;23;DEN;3.0;155.0;605;0.256;81;27.7;15.2;3.7;2.8;1.0;0.2;0.446;0.397;0.754;5.8;0.124;2009
2;3;Nate Robinson;24;NYK;2.0;113.0;605;0.187;74;29.9;17.2;3.9;4.1;1.3;0.1;0.437;0.325;0.841;5.9;0.128;2009
3;4;Lamar Odom;29;LAL;2.0;78.0;605;0.129;78;29.7;11.3;8.2;2.6;1.0;1.3;0.492;0.32;0.623;6.9;0.143;2009
4;5;Travis Outlaw;24;POR;1.0;75.0;605;0.124;81;27.7;12.8;4.1;1.0;0.6;0.7;0.453;0.377;0.723;5.3;0.113;2009
5;6;Manu Ginóbili;31;SAS;1.0;17.0;605;0.028;44;26.8;15.5;4.5;3.6;1.5;0.4;0.454;0.33;0.884;5.0;0.203;2009
6;7;Ronald Murray;29;ATL;1.0;16.0;605;0.026;80;24.7;12.2;2.1;2.0;1.1;0.2;0.447;0.36;0.76;3.1;0.076;2009
7;8;Chris Andersen;30;DEN;0.0;13.0;605;0.021;71;20.6;6.4;6.2;0.4;0.6;2.5;0.548;0.2;0.718;5.4;0.176;2009
8;9;Andrei Kirilenko;27;UTA;0.0;7.0;605;0.012;67;27.3;11.6;4.8;2.6;1.2;1.1;0.449;0.274;0.785;4.6;0.122;2009
9;10T;Leandro Barbosa;26;PHO;0.0;6.0;605;0.01;70;24.4;14.2;2.6;2.3;1.2;0.1;0.482;0.375;0.881;5.0;0.141;2009
10;10T;Corey Maggette;29;GSW;0.0;6.0;605;0.01;51;31.1;18.6;5.5;1.8;0.9;0.2;0.461;0.253;0.824;3.3;0.1;2009
11;10T;Lou Williams;22;PHI;0.0;6.0;605;0.01;81;23.7;12.8;2.0;3.0;1.0;0.2;0.398;0.286;0.79;3.4;0.085;2009
12;13;Eddie House;30;BOS;0.0;5.0;605;0.008;81;18.3;8.5;1.9;1.1;0.8;0.1;0.445;0.444;0.792;4.9;0.158;2009
13;14;Kirk Hinrich;28;CHI;0.0;4.0;605;0.007;51;26.3;9.9;2.4;3.9;1.3;0.4;0.437;0.408;0.791;2.6;0.092;2009
14;15;Jason Kapono;27;TOR;0.0;3.0;605;0.005;80;22.9;8.2;2.0;1.3;0.3;0.0;0.432;0.428;0.81;0.8;0.021;2009
15;16;James Posey;32;NOH;0.0;2.0;605;0.003;75;28.5;8.9;4.8;1.1;0.8;0.3;0.412;0.369;0.822;4.2;0.095;2009
16;17T;Trevor Ariza;23;LAL;0.0;1.0;605;0.002;82;24.4;8.9;4.3;1.8;1.7;0.3;0.46;0.319;0.71;6.1;0.146;2009
17;17T;Michael Beasley;20;MIA;0.0;1.0;605;0.002;81;24.8;13.9;5.4;1.0;0.5;0.5;0.472;0.407;0.772;3.4;0.081;2009
18;17T;Paul Millsap;23;UTA;0.0;1.0;605;0.002;76;30.1;13.5;8.6;1.8;1.0;1.0;0.534;0.0;0.699;7.7;0.162;2009
19;17T;Hakim Warrick;26;MEM;0.0;1.0;605;0.002;82;24.7;11.6;5.0;0.8;0.6;0.5;0.491;0.217;0.711;4.7;0.111;2009
0;1;Jamal Crawford;29;ATL;110.0;580.0;610;0.951;79;31.1;18.0;2.5;3.0;0.8;0.2;0.449;0.382;0.857;7.3;0.143;2010
1;2;Jason Terry;32;DAL;6.0;220.0;610;0.361;77;33.0;16.6;1.8;3.8;1.2;0.2;0.438;0.365;0.866;6.5;0.123;2010
2;3;Anderson Varejão;27;CLE;2.0;126.0;610;0.207;76;28.5;8.6;7.6;1.1;0.9;0.9;0.572;0.2;0.663;8.1;0.179;2010
3;4;Manu Ginóbili;32;SAS;2.0;75.0;610;0.123;75;28.7;16.5;3.8;4.9;1.4;0.3;0.441;0.377;0.87;9.7;0.216;2010
4;5;J.R. Smith;24;DEN;0.0;33.0;610;0.054;75;27.8;15.4;3.1;2.4;1.3;0.3;0.414;0.338;0.706;2.7;0.062;2010
5;6;Lamar Odom;30;LAL;1.0;25.0;610;0.041;82;31.5;10.8;9.8;3.3;0.9;0.7;0.463;0.319;0.693;7.7;0.143;2010
6;7;Paul Millsap;24;UTA;1.0;15.0;610;0.025;82;27.8;11.6;6.8;1.6;0.8;1.2;0.538;0.111;0.693;7.2;0.151;2010
7;8;Carl Landry;26;TOT;0.0;12.0;610;0.02;80;30.9;16.8;5.9;0.8;0.7;0.8;0.536;0.333;0.806;7.7;0.15;2010
8;9;Udonis Haslem;29;MIA;0.0;5.0;610;0.008;78;27.9;9.9;8.1;0.7;0.4;0.3;0.494;;0.762;6.0;0.132;2010
9;10;Marcus Thornton;22;NOH;0.0;3.0;610;0.005;73;25.6;14.5;2.9;1.6;0.8;0.2;0.451;0.374;0.814;4.0;0.103;2010
10;11T;Jared Dudley;24;PHO;0.0;1.0;610;0.002;82;24.3;8.2;3.4;1.4;1.0;0.2;0.459;0.458;0.754;5.3;0.129;2010
11;11T;Al Harrington;29;NYK;0.0;1.0;610;0.002;72;30.5;17.7;5.6;1.5;0.9;0.4;0.435;0.342;0.757;3.5;0.077;2010
12;11T;Kevin Love;21;MIN;0.0;1.0;610;0.002;60;28.6;14.0;11.0;2.3;0.7;0.4;0.45;0.33;0.815;4.9;0.138;2010
13;11T;Kyle Lowry;23;HOU;0.0;1.0;610;0.002;68;24.3;9.1;3.6;4.5;0.9;0.1;0.397;0.272;0.827;4.3;0.126;2010
0;1;Lamar Odom;31;LAL;96.0;513.0;585;0.877;82;32.2;14.4;8.7;3.0;0.6;0.7;0.53;0.382;0.675;10.1;0.184;2011
1;2;Jason Terry;33;DAL;13.0;244.0;585;0.417;82;31.3;15.8;1.9;4.1;1.1;0.2;0.451;0.362;0.85;5.3;0.1;2011
2;3;Thaddeus Young;22;PHI;2.0;76.0;585;0.13;82;26.0;12.7;5.3;1.0;1.1;0.3;0.541;0.273;0.707;6.2;0.139;2011
3;4;Glen Davis;25;BOS;0.0;75.0;585;0.128;78;29.5;11.7;5.4;1.2;1.0;0.4;0.448;0.133;0.736;4.9;0.102;2011
4;5;Jamal Crawford;30;ATL;5.0;51.0;585;0.087;76;30.2;14.2;1.7;3.2;0.8;0.2;0.421;0.341;0.854;3.4;0.071;2011
5;6;Lou Williams;24;PHI;1.0;26.0;585;0.044;75;23.3;13.7;2.0;3.4;0.6;0.2;0.406;0.348;0.823;5.1;0.141;2011
6;7;James Harden;21;OKC;0.0;19.0;585;0.032;82;26.7;12.2;3.1;2.1;1.1;0.3;0.436;0.349;0.843;7.1;0.156;2011
7;8;George Hill;24;SAS;0.0;18.0;585;0.031;76;28.3;11.6;2.6;2.5;0.9;0.3;0.453;0.377;0.863;6.1;0.136;2011
8;9;Marcin Gortat;26;TOT;0.0;11.0;585;0.019;80;25.4;10.2;7.9;0.9;0.5;1.1;0.561;0.25;0.725;6.4;0.152;2011
9;10;J.R. Smith;25;DEN;0.0;7.0;585;0.012;79;24.9;12.3;4.1;2.2;1.2;0.2;0.435;0.39;0.738;5.0;0.121;2011
10;11T;Tony Allen;29;MEM;0.0;3.0;585;0.005;72;20.8;8.9;2.7;1.4;1.8;0.6;0.51;0.174;0.753;4.7;0.152;2011
11;11T;Ty Lawson;23;DEN;0.0;3.0;585;0.005;80;26.3;11.7;2.6;4.7;1.0;0.1;0.503;0.404;0.764;6.7;0.153;2011
12;11T;O.J. Mayo;23;MEM;0.0;3.0;585;0.005;71;26.3;11.3;2.4;2.0;1.0;0.4;0.407;0.364;0.756;2.4;0.062;2011
13;14;Toney Douglas;24;NYK;0.0;2.0;585;0.003;81;24.3;10.6;3.0;3.0;1.1;0.0;0.416;0.373;0.794;4.2;0.101;2011
14;15T;Matt Bonner;30;SAS;0.0;1.0;585;0.002;66;21.7;7.3;3.6;0.9;0.4;0.3;0.464;0.457;0.744;4.4;0.147;2011
15;15T;J.J. Redick;26;ORL;0.0;1.0;585;0.002;59;25.6;10.1;1.9;1.7;0.5;0.1;0.441;0.397;0.875;4.5;0.142;2011
0;1;James Harden;22;OKC;115.0;584.0;595;0.982;62;31.4;16.8;4.1;3.7;1.0;0.2;0.491;0.39;0.846;9.3;0.23;2012
1;2;Lou Williams;25;PHI;3.0;231.0;595;0.388;64;26.3;14.9;2.4;3.5;0.8;0.3;0.407;0.362;0.812;6.1;0.174;2012
2;3;Jason Terry;34;DAL;0.0;81.0;595;0.136;63;31.7;15.1;2.4;3.6;1.2;0.2;0.43;0.378;0.883;3.8;0.092;2012
3;4;Al Harrington;31;DEN;0.0;42.0;595;0.071;64;27.5;14.2;6.1;1.4;0.9;0.2;0.446;0.333;0.676;3.2;0.088;2012
4;5T;Taj Gibson;26;CHI;1.0;28.0;595;0.047;63;20.4;7.7;5.3;0.7;0.4;1.3;0.495;;0.622;4.5;0.167;2012
5;5T;Manu Ginóbili;34;SAS;0.0;28.0;595;0.047;34;23.3;12.9;3.4;4.4;0.7;0.4;0.526;0.413;0.871;4.2;0.257;2012
6;7;O.J. Mayo;24;MEM;0.0;18.0;595;0.03;66;26.8;12.6;3.2;2.6;1.1;0.3;0.408;0.364;0.773;3.5;0.094;2012
7;8;Mo Williams;29;LAC;0.0;14.0;595;0.024;52;28.3;13.2;1.9;3.1;1.0;0.1;0.426;0.389;0.9;2.8;0.093;2012
8;9;Thaddeus Young;23;PHI;0.0;10.0;595;0.017;63;27.9;12.8;5.2;1.2;1.0;0.7;0.507;0.25;0.771;6.3;0.171;2012
9;10;Kyle Korver;30;CHI;0.0;4.0;595;0.007;65;22.6;8.1;2.4;1.7;0.6;0.2;0.432;0.435;0.833;5.3;0.172;2012
10;11T;Jamal Crawford;31;POR;0.0;3.0;595;0.005;60;26.9;14.0;2.0;3.2;0.9;0.2;0.384;0.308;0.927;2.3;0.069;2012
11;11T;Carl Landry;28;NOH;0.0;3.0;595;0.005;41;24.4;12.5;5.2;0.9;0.3;0.3;0.503;0.0;0.799;2.9;0.139;2012
12;11T;Zach Randolph;30;MEM;0.0;3.0;595;0.005;28;26.3;11.6;8.0;1.7;0.8;0.1;0.463;0.25;0.659;2.1;0.135;2012
13;11T;C.J. Watson;27;CHI;0.0;3.0;595;0.005;49;23.7;9.7;2.1;4.1;0.9;0.2;0.368;0.393;0.808;2.6;0.109;2012
14;15T;Mike Dunleavy;31;MIL;0.0;2.0;595;0.003;55;26.3;12.3;3.7;2.1;0.5;0.1;0.474;0.399;0.811;4.4;0.146;2012
15;15T;Tyler Hansbrough;26;IND;0.0;2.0;595;0.003;66;21.8;9.3;4.4;0.5;0.8;0.1;0.405;0.0;0.813;3.9;0.129;2012
16;15T;Gary Neal;27;SAS;0.0;2.0;595;0.003;56;21.5;9.9;2.1;2.1;0.5;0.0;0.436;0.419;0.781;2.5;0.101;2012
17;18T;George Hill;25;IND;0.0;1.0;595;0.002;50;25.5;9.6;3.0;2.9;0.8;0.3;0.442;0.367;0.778;4.0;0.152;2012
18;18T;Andre Miller;35;DEN;0.0;1.0;595;0.002;66;27.4;9.7;3.3;6.7;1.0;0.1;0.438;0.217;0.811;2.9;0.078;2012
19;18T;J.R. Smith;26;NYK;0.0;1.0;595;0.002;35;27.6;12.5;3.9;2.4;1.5;0.2;0.407;0.347;0.709;2.5;0.122;2012
0;1;J.R. Smith;27;NYK;72.0;484.0;605;0.8;80;33.5;18.1;5.3;2.7;1.3;0.3;0.422;0.356;0.762;6.7;0.12;2013
1;2;Jamal Crawford;32;LAC;31.0;352.0;605;0.582;76;29.3;16.5;1.7;2.5;1.0;0.2;0.438;0.376;0.871;5.4;0.116;2013
2;3;Jarrett Jack;29;GSW;14.0;170.0;605;0.281;79;29.7;12.9;3.1;5.6;0.8;0.1;0.452;0.404;0.843;5.6;0.115;2013
3;4;Kevin Martin;29;OKC;2.0;31.0;605;0.051;77;27.7;14.0;2.3;1.4;0.9;0.1;0.45;0.426;0.89;7.0;0.157;2013
4;5;Ryan Anderson;24;NOH;1.0;11.0;605;0.018;81;30.9;16.2;6.4;1.2;0.5;0.4;0.423;0.382;0.844;6.5;0.125;2013
5;6;Andre Miller;36;DEN;0.0;7.0;605;0.012;82;26.2;9.6;2.9;5.9;0.9;0.1;0.479;0.266;0.84;5.4;0.12;2013
6;7;Jordan Crawford;24;TOT;1.0;5.0;605;0.008;70;24.4;11.6;3.0;3.2;0.6;0.1;0.415;0.337;0.811;1.9;0.052;2013
7;8T;Corey Brewer;26;DEN;0.0;4.0;605;0.007;82;24.4;12.1;2.9;1.5;1.4;0.3;0.425;0.296;0.69;3.9;0.093;2013
8;8T;Manu Ginóbili;35;SAS;0.0;4.0;605;0.007;60;23.2;11.8;3.4;4.6;1.3;0.2;0.425;0.353;0.796;4.5;0.155;2013
9;8T;Carl Landry;29;GSW;0.0;4.0;605;0.007;81;23.2;10.8;6.0;0.8;0.4;0.4;0.54;0.333;0.817;6.2;0.159;2013
10;8T;Nate Robinson;28;CHI;0.0;4.0;605;0.007;82;25.4;13.1;2.2;4.4;1.0;0.1;0.433;0.405;0.799;5.9;0.136;2013
11;12T;Shane Battier;34;MIA;0.0;2.0;605;0.003;72;24.8;6.6;2.3;1.0;0.6;0.8;0.42;0.43;0.842;4.4;0.119;2013
12;12T;Ramon Sessions;26;CHA;0.0;2.0;605;0.003;61;27.1;14.4;2.8;3.8;0.8;0.1;0.408;0.308;0.839;2.9;0.084;2013
13;14T;Luke Babbitt;23;POR;0.0;1.0;605;0.002;62;11.8;3.9;2.2;0.5;0.2;0.1;0.368;0.348;0.769;0.7;0.047;2013
14;14T;Vince Carter;36;DAL;0.0;1.0;605;0.002;81;25.8;13.4;4.1;2.4;0.9;0.5;0.435;0.406;0.816;6.0;0.137;2013
15;14T;Gordon Hayward;22;UTA;0.0;1.0;605;0.002;72;29.2;14.1;3.1;3.0;0.8;0.5;0.435;0.415;0.827;5.4;0.123;2013
16;14T;J.J. Redick;28;TOT;0.0;1.0;605;0.002;78;30.5;14.1;2.2;3.8;0.5;0.1;0.434;0.366;0.9;4.5;0.091;2013
0;1;Jamal Crawford;33;LAC;57.0;421.0;625;0.674;69;30.3;18.6;2.3;3.2;0.9;0.2;0.416;0.361;0.866;5.3;0.122;2014
1;2;Taj Gibson;28;CHI;49.0;395.0;625;0.632;82;28.7;13.0;6.8;1.1;0.5;1.4;0.479;0.0;0.751;5.7;0.117;2014
2;3;Manu Ginóbili;36;SAS;9.0;138.0;625;0.221;68;22.8;12.3;3.0;4.3;1.0;0.3;0.469;0.349;0.851;5.7;0.176;2014
3;4;Markieff Morris;24;PHO;5.0;85.0;625;0.136;81;26.6;13.8;6.0;1.8;0.8;0.6;0.486;0.315;0.792;6.4;0.143;2014
4;5;Reggie Jackson;23;OKC;4.0;49.0;625;0.078;80;28.5;13.1;3.9;4.1;1.1;0.1;0.44;0.339;0.893;4.9;0.104;2014
5;6;Vince Carter;37;DAL;1.0;12.0;625;0.019;81;24.4;11.9;3.5;2.6;0.8;0.4;0.407;0.394;0.821;4.3;0.105;2014
6;7;D.J. Augustin;26;TOT;0.0;6.0;625;0.01;71;27.3;13.1;1.8;4.4;0.7;0.0;0.415;0.401;0.885;6.2;0.154;2014
7;8T;Enes Freedom;21;UTA;0.0;3.0;625;0.005;80;26.7;12.3;7.5;0.9;0.4;0.5;0.491;0.0;0.73;2.2;0.05;2014
8;8T;Dion Waiters;22;CLE;0.0;3.0;625;0.005;70;29.6;15.9;2.8;3.0;0.9;0.2;0.433;0.368;0.685;1.6;0.037;2014
9;8T;Nick Young;28;LAL;0.0;3.0;625;0.005;64;28.3;17.9;2.6;1.5;0.7;0.2;0.435;0.386;0.825;2.5;0.067;2014
10;11T;Chris Andersen;35;MIA;0.0;2.0;625;0.003;72;19.4;6.6;5.3;0.3;0.4;1.3;0.644;0.25;0.71;6.0;0.205;2014
11;11T;Marco Belinelli;27;SAS;0.0;2.0;625;0.003;80;25.2;11.4;2.8;2.2;0.6;0.1;0.485;0.43;0.847;5.9;0.14;2014
12;13T;Andray Blatche;27;BRK;0.0;1.0;625;0.002;73;22.2;11.2;5.3;1.5;1.0;0.5;0.476;0.278;0.742;3.7;0.109;2014
13;13T;Tim Hardaway Jr.;21;NYK;0.0;1.0;625;0.002;81;23.1;10.2;1.5;0.8;0.5;0.1;0.428;0.363;0.828;3.1;0.08;2014
14;13T;Patty Mills;25;SAS;0.0;1.0;625;0.002;81;18.9;10.2;2.1;1.8;0.8;0.1;0.464;0.425;0.89;5.6;0.175;2014
15;13T;Timofey Mozgov;27;DEN;0.0;1.0;625;0.002;82;21.6;9.4;6.4;0.8;0.3;1.2;0.523;0.167;0.754;4.5;0.123;2014
16;13T;Greivis Vásquez;27;TOT;0.0;1.0;625;0.002;79;22.5;9.6;2.2;4.1;0.4;0.1;0.421;0.377;0.88;3.6;0.097;2014
17;13T;Mo Williams;31;POR;0.0;1.0;625;0.002;74;24.8;9.7;2.1;4.3;0.7;0.1;0.417;0.369;0.876;2.2;0.056;2014
0;1;Lou Williams;28;TOR;78.0;502.0;650;0.772;80;25.2;15.5;1.9;2.1;1.1;0.1;0.404;0.34;0.861;6.6;0.157;2015
1;2;Isaiah Thomas;25;TOT;33.0;324.0;650;0.498;67;25.8;16.4;2.3;4.2;0.9;0.1;0.42;0.373;0.868;6.1;0.169;2015
2;3;Jamal Crawford;34;LAC;8.0;131.0;650;0.202;64;26.6;15.8;1.9;2.5;0.9;0.2;0.396;0.327;0.901;3.6;0.102;2015
3;4;Andre Iguodala;31;GSW;7.0;100.0;650;0.154;77;26.9;7.8;3.3;3.0;1.2;0.3;0.466;0.349;0.596;5.1;0.117;2015
4;5;Tristan Thompson;23;CLE;0.0;33.0;650;0.051;82;26.8;8.5;8.0;0.5;0.4;0.7;0.547;;0.641;6.8;0.148;2015
5;6;Nikola Mirotić;23;CHI;1.0;24.0;650;0.037;82;20.2;10.2;4.9;1.2;0.7;0.7;0.405;0.316;0.803;5.7;0.165;2015
6;7;Marreese Speights;27;GSW;1.0;20.0;650;0.031;76;15.9;10.4;4.3;0.9;0.3;0.4;0.492;0.278;0.843;4.0;0.158;2015
7;8T;Corey Brewer;28;TOT;1.0;12.0;650;0.018;80;26.1;11.5;3.7;2.2;1.4;0.2;0.426;0.268;0.743;3.1;0.071;2015
8;8T;Manu Ginóbili;37;SAS;0.0;12.0;650;0.018;70;22.7;10.5;3.0;4.2;1.0;0.3;0.426;0.345;0.721;3.7;0.111;2015
9;10;Taj Gibson;29;CHI;1.0;8.0;650;0.012;62;27.3;10.3;6.4;1.1;0.6;1.2;0.502;;0.717;4.8;0.137;2015
10;11T;Aaron Brooks;30;CHI;0.0;1.0;650;0.002;82;23.0;11.6;2.0;3.2;0.7;0.2;0.421;0.387;0.833;3.3;0.083;2015
11;11T;Chris Kaman;32;POR;0.0;1.0;650;0.002;74;18.9;8.6;6.5;0.9;0.2;0.7;0.515;;0.706;3.3;0.112;2015
12;11T;Anthony Morrow;29;OKC;0.0;1.0;650;0.002;74;24.4;10.7;2.6;0.8;0.7;0.1;0.463;0.434;0.888;5.7;0.151;2015
13;11T;Dennis Schröder;21;ATL;0.0;1.0;650;0.002;77;19.7;10.0;2.1;4.1;0.6;0.1;0.427;0.351;0.827;2.5;0.08;2015
0;1;Jamal Crawford;35;LAC;51.0;341.0;650;0.525;79;26.9;14.2;1.8;2.3;0.7;0.2;0.404;0.34;0.904;3.3;0.076;2016
1;2;Andre Iguodala;32;GSW;33.0;288.0;650;0.443;65;26.6;7.0;4.0;3.4;1.1;0.3;0.478;0.351;0.614;4.4;0.122;2016
2;3;Enes Freedom;23;OKC;19.0;182.0;650;0.28;82;21.0;12.7;8.1;0.4;0.3;0.4;0.576;0.476;0.797;8.1;0.226;2016
3;4;Will Barton;25;DEN;15.0;158.0;650;0.243;82;28.7;14.4;5.8;2.5;0.9;0.5;0.432;0.345;0.806;4.3;0.088;2016
4;5;Evan Turner;27;BOS;3.0;46.0;650;0.071;81;28.0;10.5;4.9;4.4;1.0;0.3;0.456;0.241;0.827;4.0;0.085;2016
5;6;Ryan Anderson;27;NOP;4.0;43.0;650;0.066;66;30.4;17.0;6.0;1.1;0.6;0.4;0.427;0.366;0.873;3.9;0.092;2016
6;7;Jeremy Lin;27;CHO;1.0;30.0;650;0.046;78;26.3;11.7;3.2;3.0;0.7;0.5;0.412;0.336;0.815;3.5;0.082;2016
7;8;Ed Davis;26;POR;1.0;21.0;650;0.032;81;20.8;6.5;7.4;1.1;0.7;0.9;0.611;;0.559;6.7;0.192;2016
8;9;Dennis Schröder;22;ATL;1.0;17.0;650;0.026;80;20.3;11.0;2.6;4.4;0.9;0.1;0.421;0.322;0.791;2.2;0.064;2016
9;10;Tristan Thompson;24;CLE;2.0;16.0;650;0.025;82;27.7;7.8;9.0;0.8;0.5;0.6;0.588;;0.616;8.7;0.185;2016
10;11;Shaun Livingston;30;GSW;0.0;7.0;650;0.011;78;19.5;6.3;2.2;3.0;0.7;0.3;0.536;0.167;0.86;4.6;0.145;2016
11;12T;J.J. Barea;31;DAL;0.0;5.0;650;0.008;74;22.5;10.9;2.1;4.1;0.4;0.0;0.446;0.385;0.771;2.8;0.082;2016
12;12T;Boris Diaw;33;SAS;0.0;5.0;650;0.008;76;18.2;6.4;3.1;2.3;0.3;0.3;0.527;0.362;0.737;3.8;0.132;2016
13;14;Zach LaVine;20;MIN;0.0;4.0;650;0.006;82;28.0;14.0;2.8;3.1;0.8;0.2;0.452;0.389;0.793;2.6;0.054;2016
14;15;Darren Collison;28;SAC;0.0;3.0;650;0.005;74;30.0;14.0;2.3;4.3;1.0;0.1;0.486;0.401;0.858;5.2;0.113;2016
15;16T;Allen Crabbe;23;POR;0.0;1.0;650;0.002;81;26.0;10.3;2.7;1.2;0.8;0.2;0.459;0.393;0.867;4.3;0.098;2016
16;16T;Jrue Holiday;25;NOP;0.0;1.0;650;0.002;65;28.2;16.8;3.0;6.0;1.4;0.3;0.439;0.336;0.843;3.4;0.089;2016
17;16T;Patrick Patterson;26;TOR;0.0;1.0;650;0.002;79;25.6;6.9;4.3;1.2;0.7;0.4;0.414;0.362;0.853;3.6;0.086;2016
18;16T;Mirza Teletović;30;PHO;0.0;1.0;650;0.002;79;21.3;12.2;3.8;1.1;0.4;0.3;0.427;0.393;0.774;3.8;0.109;2016
0;1;Eric Gordon;28;HOU;46.0;358.0;500;0.716;75;31.0;16.2;2.7;2.5;0.6;0.5;0.406;0.372;0.84;3.8;0.079;2017
1;2;Andre Iguodala;33;GSW;43.0;326.0;500;0.652;76;26.3;7.6;4.0;3.4;1.0;0.5;0.528;0.362;0.706;6.9;0.167;2017
2;3;Lou Williams;30;TOT;5.0;70.0;500;0.14;81;24.6;17.5;2.5;3.0;1.0;0.2;0.429;0.365;0.88;6.1;0.148;2017
3;4;Zach Randolph;35;MEM;2.0;46.0;500;0.092;73;24.5;14.1;8.2;1.7;0.5;0.1;0.449;0.223;0.731;3.2;0.086;2017
4;5;James Johnson;29;MIA;1.0;25.0;500;0.05;76;27.4;12.8;4.9;3.6;1.0;1.1;0.479;0.34;0.707;5.1;0.117;2017
5;6;Greg Monroe;26;MIL;1.0;21.0;500;0.042;81;22.5;11.7;6.6;2.3;1.1;0.5;0.533;0.0;0.741;5.6;0.147;2017
6;7;Jamal Crawford;36;LAC;1.0;20.0;500;0.04;82;26.3;12.3;1.6;2.6;0.7;0.2;0.413;0.36;0.857;1.9;0.043;2017
7;8T;Enes Freedom;24;OKC;1.0;14.0;500;0.028;72;21.3;14.3;6.7;0.9;0.4;0.5;0.545;0.132;0.786;5.8;0.183;2017
8;8T;Patty Mills;28;SAS;0.0;14.0;500;0.028;80;21.9;9.5;1.8;3.5;0.8;0.0;0.44;0.414;0.825;5.1;0.139;2017
9;10;Tim Hardaway Jr.;24;ATL;0.0;3.0;500;0.006;79;27.3;14.5;2.8;2.3;0.7;0.2;0.455;0.357;0.766;4.8;0.107;2017
10;11T;Malcolm Brogdon;24;MIL;0.0;1.0;500;0.002;75;26.4;10.2;2.8;4.2;1.1;0.2;0.457;0.404;0.865;4.1;0.1;2017
11;11T;Vince Carter;40;MEM;0.0;1.0;500;0.002;73;24.6;8.0;3.1;1.8;0.8;0.5;0.394;0.378;0.765;4.0;0.106;2017
12;11T;Tyler Johnson;24;MIA;0.0;1.0;500;0.002;73;29.8;13.7;4.0;3.2;1.2;0.6;0.433;0.372;0.768;5.8;0.128;2017
0;1;Lou Williams;31;LAC;97.0;495.0;505;0.98;79;32.8;22.6;2.5;5.3;1.1;0.2;0.435;0.359;0.88;6.7;0.125;2018
1;2;Eric Gordon;29;HOU;3.0;246.0;505;0.487;69;31.2;18.0;2.5;2.2;0.6;0.4;0.428;0.359;0.809;4.7;0.105;2018
2;3;Fred VanVleet;23;TOR;1.0;64.0;505;0.127;76;20.0;8.6;2.4;3.2;0.9;0.3;0.426;0.414;0.832;4.7;0.149;2018
3;4;Will Barton;27;DEN;0.0;62.0;505;0.123;81;33.1;15.7;5.0;4.1;1.0;0.6;0.452;0.37;0.805;6.2;0.111;2018
4;5;Wayne Ellington;30;MIA;0.0;9.0;505;0.018;77;26.5;11.2;2.8;1.0;0.7;0.1;0.407;0.392;0.859;4.5;0.105;2018
5;6;Kelly Olynyk;26;MIA;0.0;7.0;505;0.014;76;23.4;11.5;5.7;2.7;0.8;0.5;0.497;0.379;0.77;5.5;0.148;2018
6;7T;Jordan Clarkson;25;TOT;0.0;5.0;505;0.01;81;23.3;13.9;2.7;2.7;0.7;0.1;0.451;0.352;0.8;3.0;0.077;2018
7;7T;Nikola Mirotić;26;TOT;0.0;5.0;505;0.01;55;27.2;15.6;7.4;1.5;0.8;0.7;0.447;0.377;0.818;4.0;0.128;2018
8;9;Kyle Kuzma;22;LAL;0.0;4.0;505;0.008;77;31.2;16.1;6.3;1.8;0.6;0.4;0.45;0.366;0.707;3.8;0.077;2018
9;10T;Terry Rozier;23;BOS;0.0;3.0;505;0.006;80;25.9;11.3;4.7;2.9;1.0;0.2;0.395;0.381;0.772;5.6;0.13;2018
10;10T;Dwyane Wade;36;TOT;0.0;3.0;505;0.006;67;22.9;11.4;3.8;3.4;0.9;0.7;0.438;0.288;0.714;1.1;0.036;2018
11;12T;J.J. Barea;33;DAL;0.0;1.0;505;0.002;69;23.2;11.6;2.9;6.3;0.5;0.0;0.439;0.367;0.784;3.3;0.098;2018
12;12T;Marco Belinelli;31;TOT;0.0;1.0;505;0.002;80;24.3;12.1;1.9;1.9;0.8;0.2;0.441;0.377;0.908;3.7;0.092;2018
13;12T;Rodney Hood;25;TOT;0.0;1.0;505;0.002;60;26.9;14.7;2.8;1.6;0.8;0.2;0.429;0.381;0.86;2.7;0.081;2018
14;12T;Luc Mbah a Moute;31;HOU;0.0;1.0;505;0.002;61;25.6;7.5;3.0;0.9;1.2;0.4;0.481;0.364;0.684;2.8;0.087;2018
15;12T;Jakob Poeltl;22;TOR;0.0;1.0;505;0.002;82;18.6;6.9;4.8;0.7;0.5;1.2;0.659;0.5;0.594;5.6;0.175;2018
