;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
3;4;Mason Plumlee;23;BRK;2.0;58.0;620;0.094;70;18.2;7.4;4.4;0.9;0.7;0.8;0.659;0.0;0.626;4.7;0.176;2014
4;5;Tim Hardaway Jr.;21;NYK;1.0;23.0;620;0.037;81;23.1;10.2;1.5;0.8;0.5;0.1;0.428;0.363;0.828;3.1;0.08;2014
5;6;Gorgui Dieng;24;MIN;0.0;3.0;620;0.005;60;13.6;4.8;5.0;0.7;0.5;0.8;0.498;1.0;0.634;2.2;0.129;2014
6;7T;Steven Adams;20;OKC;0.0;1.0;620;0.002;81;14.8;3.3;4.1;0.5;0.5;0.7;0.503;;0.581;2.9;0.114;2014
7;7T;Giannis Antetokounmpo;19;MIL;0.0;1.0;620;0.002;77;24.6;6.8;4.4;1.9;0.8;0.8;0.414;0.347;0.683;1.2;0.031;2014
8;7T;Nick Calathes;24;MEM;0.0;1.0;620;0.002;71;16.5;4.9;1.9;2.9;0.9;0.1;0.457;0.311;0.611;1.5;0.062;2014
0;1;Andrew Wiggins;19;MIN;110.0;604.0;650;0.929;82;36.2;16.9;4.6;2.1;1.0;0.6;0.437;0.31;0.76;2.1;0.034;2015
1;2;Nikola Mirotić;23;CHI;14.0;335.0;650;0.515;82;20.2;10.2;4.9;1.2;0.7;0.7;0.405;0.316;0.803;5.7;0.165;2015
2;3;Nerlens Noel;20;PHI;3.0;141.0;650;0.217;75;30.8;9.9;8.1;1.7;1.8;1.9;0.462;;0.609;4.0;0.083;2015
3;4;Elfrid Payton;20;ORL;3.0;79.0;650;0.122;82;30.4;8.9;4.3;6.5;1.7;0.2;0.425;0.262;0.551;2.3;0.044;2015
4;5;Marcus Smart;20;BOS;0.0;6.0;650;0.009;67;27.0;7.8;3.3;3.1;1.5;0.3;0.367;0.335;0.646;2.9;0.077;2015
5;6;Jusuf Nurkić;20;DEN;0.0;3.0;650;0.005;62;17.8;6.9;6.2;0.8;0.8;1.1;0.446;0.0;0.636;1.6;0.069;2015
6;7;Jordan Clarkson;22;LAL;0.0;2.0;650;0.003;59;25.0;11.9;3.2;3.5;0.9;0.2;0.448;0.314;0.829;2.4;0.078;2015
0;1;Karl-Anthony Towns;20;MIN;130.0;650.0;650;1.0;82;32.0;18.3;10.5;2.0;0.7;1.7;0.542;0.341;0.811;8.3;0.151;2016
1;2;Kristaps Porziņģis;20;NYK;0.0;363.0;650;0.558;72;28.4;14.3;7.3;1.3;0.7;1.9;0.421;0.333;0.838;4.4;0.102;2016
2;3;Nikola Jokić;20;DEN;0.0;59.0;650;0.091;80;21.7;10.0;7.0;2.4;1.0;0.6;0.512;0.333;0.811;6.7;0.185;2016
3;4;Devin Booker;19;PHO;0.0;49.0;650;0.075;76;27.7;13.8;2.5;2.6;0.6;0.3;0.423;0.343;0.84;1.9;0.043;2016
4;5;Jahlil Okafor;20;PHI;0.0;34.0;650;0.052;53;30.0;17.5;7.0;1.2;0.4;1.2;0.508;0.167;0.686;1.2;0.037;2016
5;6;Justise Winslow;19;MIA;0.0;7.0;650;0.011;78;28.6;6.4;5.2;1.5;0.9;0.3;0.422;0.276;0.684;2.5;0.054;2016
6;7;Emmanuel Mudiay;19;DEN;0.0;4.0;650;0.006;68;30.4;12.8;3.4;5.5;1.0;0.5;0.364;0.319;0.67;-2.1;-0.049;2016
7;8;Myles Turner;19;IND;0.0;3.0;650;0.005;60;22.8;10.3;5.5;0.7;0.4;1.4;0.498;0.214;0.727;3.1;0.109;2016
8;9;D'Angelo Russell;19;LAL;0.0;1.0;650;0.002;80;28.2;13.2;3.4;3.3;1.2;0.2;0.41;0.351;0.737;0.0;0.001;2016
0;1;Malcolm Brogdon;24;MIL;64.0;414.0;500;0.828;75;26.4;10.2;2.8;4.2;1.1;0.2;0.457;0.404;0.865;4.1;0.1;2017
1;2;Dario Šarić;22;PHI;13.0;266.0;500;0.532;81;26.3;12.8;6.3;2.2;0.7;0.4;0.411;0.311;0.782;1.0;0.023;2017
2;3;Joel Embiid;22;PHI;23.0;177.0;500;0.354;31;25.4;20.2;7.8;2.1;0.9;2.5;0.466;0.367;0.783;1.9;0.117;2017
3;4;Buddy Hield;24;TOT;0.0;21.0;500;0.042;82;23.0;10.6;3.3;1.5;0.5;0.1;0.426;0.391;0.842;1.3;0.032;2017
4;5T;Willy Hernangómez;22;NYK;0.0;8.0;500;0.016;72;18.4;8.2;7.0;1.3;0.6;0.5;0.529;0.267;0.728;3.4;0.123;2017
5;5T;Jamal Murray;19;DEN;0.0;8.0;500;0.016;82;21.5;9.9;2.6;2.1;0.6;0.3;0.404;0.334;0.883;1.3;0.037;2017
6;7;Marquese Chriss;19;PHO;0.0;3.0;500;0.006;82;21.3;9.2;4.2;0.7;0.8;0.9;0.449;0.321;0.624;1.8;0.05;2017
7;8T;Jaylen Brown;20;BOS;0.0;1.0;500;0.002;78;17.2;6.6;2.8;0.8;0.4;0.2;0.454;0.341;0.685;1.5;0.053;2017
8;8T;Yogi Ferrell;23;TOT;0.0;1.0;500;0.002;46;26.0;10.0;2.4;3.7;0.9;0.2;0.406;0.386;0.831;1.8;0.072;2017
9;8T;Rodney McGruder;25;MIA;0.0;1.0;500;0.002;78;25.2;6.4;3.3;1.6;0.6;0.2;0.413;0.332;0.62;2.9;0.072;2017
0;1;Ben Simmons;21;PHI;90.0;481.0;505;0.952;81;33.7;15.8;8.1;8.2;1.7;0.9;0.545;0.0;0.56;9.2;0.162;2018
1;2;Donovan Mitchell;21;UTA;11.0;323.0;505;0.64;79;33.4;20.5;3.7;3.7;1.5;0.3;0.437;0.34;0.805;5.2;0.095;2018
2;3;Jayson Tatum;19;BOS;0.0;101.0;505;0.2;80;30.5;13.9;5.0;1.6;1.0;0.7;0.475;0.434;0.826;7.1;0.139;2018
3;4;Kyle Kuzma;22;LAL;0.0;3.0;505;0.006;77;31.2;16.1;6.3;1.8;0.6;0.4;0.45;0.366;0.707;3.8;0.077;2018
4;5;Dennis Smith Jr.;20;DAL;0.0;1.0;505;0.002;69;29.7;15.2;3.8;5.2;1.0;0.3;0.395;0.313;0.694;-0.7;-0.017;2018
0;1;Luka Dončić;19;DAL;98.0;496.0;500;0.992;72;32.2;21.2;7.8;6.0;1.1;0.3;0.427;0.327;0.713;4.9;0.101;2019
1;2;Trae Young;20;ATL;2.0;301.0;500;0.602;81;30.9;19.1;3.7;8.1;0.9;0.2;0.418;0.324;0.829;3.3;0.062;2019
2;3;Deandre Ayton;20;PHO;0.0;66.0;500;0.132;71;30.7;16.3;10.3;1.8;0.9;0.9;0.585;0.0;0.746;5.8;0.128;2019
3;4;Jaren Jackson Jr.;19;MEM;0.0;12.0;500;0.024;58;26.1;13.8;4.7;1.1;0.9;1.4;0.506;0.359;0.766;3.3;0.105;2019
4;5;Collin Sexton;20;CLE;0.0;10.0;500;0.02;82;31.8;16.7;2.9;3.0;0.5;0.1;0.43;0.402;0.839;-0.6;-0.011;2019
5;6;Shai Gilgeous-Alexander;20;LAC;0.0;7.0;500;0.014;82;26.5;10.8;2.8;3.3;1.2;0.5;0.476;0.367;0.8;3.3;0.074;2019
6;7;Marvin Bagley III;19;SAC;0.0;6.0;500;0.012;62;25.3;14.9;7.6;1.0;0.5;1.0;0.504;0.313;0.691;3.6;0.11;2019
7;8T;Josh Okogie;20;MIN;0.0;1.0;500;0.002;74;23.7;7.7;2.9;1.2;1.2;0.4;0.386;0.279;0.728;1.2;0.034;2019
8;8T;Mitchell Robinson;20;NYK;0.0;1.0;500;0.002;66;20.6;7.3;6.4;0.6;0.8;2.4;0.694;;0.6;6.1;0.217;2019
0;1;Ja Morant;20;MEM;99.0;498.0;500;0.996;67;31.0;17.8;3.9;7.3;0.9;0.3;0.477;0.335;0.776;3.8;0.088;2020
1;2;Kendrick Nunn;24;MIA;0.0;204.0;500;0.408;67;29.3;15.3;2.7;3.3;0.8;0.2;0.439;0.35;0.85;2.0;0.049;2020
2;3;Zion Williamson;19;NOP;1.0;140.0;500;0.28;24;27.8;22.5;6.3;2.1;0.7;0.4;0.583;0.429;0.64;2.0;0.141;2020
3;4;Brandon Clarke;23;MEM;0.0;50.0;500;0.1;58;22.4;12.1;5.9;1.4;0.6;0.8;0.618;0.359;0.759;5.0;0.183;2020
4;5;Coby White;19;CHI;0.0;3.0;500;0.006;65;25.8;13.2;3.5;2.7;0.8;0.1;0.394;0.354;0.791;0.9;0.026;2020
5;6T;Terence Davis;22;TOR;0.0;2.0;500;0.004;72;16.8;7.5;3.3;1.6;0.5;0.2;0.456;0.388;0.864;3.1;0.122;2020
6;6T;Eric Paschall;23;GSW;0.0;2.0;500;0.004;60;27.6;14.0;4.6;2.1;0.5;0.2;0.497;0.287;0.774;2.1;0.062;2020
7;8;RJ Barrett;19;NYK;0.0;1.0;500;0.002;56;30.4;14.3;5.0;2.6;1.0;0.3;0.402;0.32;0.614;-0.5;-0.015;2020
0;1;LaMelo Ball;19;CHO;84.0;465.0;495;0.939;51;28.8;15.7;5.9;6.1;1.6;0.4;0.436;0.352;0.758;2.8;0.093;2021
1;2;Anthony Edwards;19;MIN;15.0;309.0;495;0.624;72;32.1;19.3;4.7;2.9;1.1;0.5;0.417;0.329;0.776;0.8;0.017;2021
2;3;Tyrese Haliburton;20;SAC;0.0;114.0;495;0.23;58;30.1;13.0;3.0;5.3;1.3;0.5;0.472;0.409;0.857;3.5;0.096;2021
3;4;Saddiq Bey;21;DET;0.0;3.0;495;0.006;70;27.3;12.2;4.5;1.4;0.7;0.2;0.404;0.38;0.844;3.3;0.082;2021
0;1;Scottie Barnes;20;TOR;48.0;378.0;500;0.756;74;35.4;15.3;7.5;3.5;1.1;0.7;0.492;0.301;0.735;6.6;0.122;2022
1;2;Evan Mobley;20;CLE;43.0;363.0;500;0.726;69;33.8;15.0;8.3;2.5;0.8;1.7;0.508;0.25;0.663;5.2;0.107;2022
2;3;Cade Cunningham;20;DET;9.0;153.0;500;0.306;64;32.6;17.4;5.5;5.6;1.2;0.7;0.416;0.314;0.845;-0.5;-0.011;2022
3;4;Jalen Green;19;HOU;0.0;3.0;500;0.006;67;31.9;17.3;3.4;2.6;0.7;0.3;0.426;0.343;0.797;0.7;0.015;2022
4;5;Franz Wagner;20;ORL;0.0;2.0;500;0.004;79;30.7;15.2;4.5;2.9;0.9;0.4;0.468;0.354;0.863;4.0;0.079;2022
5;6;Herbert Jones;23;NOP;0.0;1.0;500;0.002;78;29.9;9.5;3.8;2.1;1.7;0.8;0.476;0.337;0.84;4.6;0.096;2022
